,KW_MAE_TRAIN,KW_MAPE_TRAIN,KW_RMSE_TRAIN
249,0.8887,1.0,1.0788
250,0.8266,1.0066,0.9482
251,0.7698,1.0185,0.8417
252,0.761,1.0503,0.7988
253,0.8133,1.1101,0.9141
254,0.867,1.5069,0.9822
255,0.9606,2.0874,1.1214
256,0.952,2.2601,1.0932
257,0.8509,2.0842,0.9138
258,0.8499,2.3694,0.9148
259,0.8159,2.2005,0.9105
260,0.7444,2.2613,0.789
261,0.6706,1.849,0.704
262,0.6133,1.7863,0.6148
263,0.6025,1.4786,0.6339
264,0.615,0.6761,0.6072
265,0.6148,0.5901,0.6034
266,0.5787,0.5332,0.5766
267,0.5727,0.941,0.5536
268,0.5711,0.992,0.5304
269,0.5146,0.9717,0.4755
270,0.464,1.0195,0.396
271,0.4472,0.9145,0.3394
272,0.3783,0.8368,0.2219
273,0.3554,0.7824,0.2235
274,0.3312,0.9611,0.1907
275,0.3215,0.8423,0.1831
276,0.3244,0.8391,0.1874
277,0.3317,0.8062,0.1875
278,0.3815,0.9683,0.2278
279,0.4196,1.1557,0.266
280,0.38,0.9281,0.2276
281,0.3818,0.5975,0.2313
282,0.4427,0.5749,0.3014
283,0.4138,0.6419,0.282
284,0.4323,0.7392,0.3383
285,0.4568,0.7859,0.2926
286,0.5196,0.6032,0.4196
287,0.5914,0.6879,0.5374
288,0.6027,0.7622,0.5226
289,0.6144,0.7568,0.4956
290,0.6145,0.8024,0.4864
291,0.6007,0.7677,0.4709
292,0.5906,0.7463,0.4695
293,0.5948,0.7537,0.4855
294,0.5886,0.7586,0.4717
295,0.5704,0.7463,0.4469
296,0.5302,0.7342,0.3809
297,0.4937,0.6318,0.345
298,0.4859,0.6886,0.3238
299,0.4941,0.7292,0.3375
300,0.5479,0.7189,0.4068
301,0.5549,0.6821,0.4213
302,0.5146,0.6684,0.3764
303,0.5426,0.7131,0.4057
304,0.5777,0.7282,0.4465
305,0.5972,0.7255,0.4908
306,0.5633,0.7061,0.4658
307,0.5485,0.7255,0.4397
308,0.5534,0.8111,0.4505
309,0.5928,0.9029,0.5278
310,0.6114,0.9326,0.5107
311,0.6346,0.9504,0.5237
312,0.6057,0.8549,0.4741
313,0.5961,0.748,0.4709
314,0.6036,0.7291,0.452
315,0.6139,0.717,0.4764
316,0.617,0.7306,0.5033
317,0.6189,0.7355,0.5068
318,0.6082,0.7152,0.5045
319,0.5991,0.7132,0.4883
320,0.5621,0.6977,0.4215
321,0.5108,0.9273,0.3642
322,0.4399,0.6063,0.2846
323,0.4668,1.1601,0.3331
324,0.4599,1.3075,0.3242
325,0.4396,1.0969,0.2822
326,0.4554,1.6176,0.2887
327,0.4695,0.9983,0.3166
328,0.5465,2.2468,0.4264
329,0.5769,1.803,0.5077
330,0.5738,1.9362,0.4848
331,0.5968,2.6719,0.5029
332,0.6091,3.2772,0.5639
333,0.6144,3.3639,0.5881
334,0.6448,3.5801,0.6893
335,0.6942,3.8925,0.7315
336,0.7038,3.959,0.6813
337,0.6959,3.5916,0.6816
338,0.6861,3.147,0.6439
339,0.6636,2.7049,0.5873
340,0.6296,1.921,0.5733
341,0.6116,1.5127,0.5731
342,0.5924,1.3452,0.5121
343,0.5519,1.6375,0.4659
344,0.4739,1.8697,0.3606
345,0.4272,0.4549,0.2925
346,0.4426,0.5167,0.2983
347,0.4328,0.9511,0.2894
348,0.4166,1.2876,0.2847
349,0.3665,1.2321,0.2417
350,0.3279,1.1808,0.1909
351,0.3413,1.4951,0.1854
352,0.3502,1.8368,0.1841
353,0.3519,1.8861,0.1943
354,0.3653,1.7371,0.2107
355,0.3908,1.7523,0.2377
356,0.4441,2.027,0.2728
357,0.5089,3.402,0.3368
358,0.5402,3.984,0.3859
359,0.5189,4.1445,0.3941
360,0.5138,4.1796,0.3569
361,0.4143,3.8986,0.2522
362,0.3323,2.462,0.1477
363,0.3886,0.8035,0.2323
364,0.4468,1.0881,0.2799
365,0.471,0.9951,0.3061
366,0.4542,1.0686,0.2933
367,0.4266,2.2444,0.2773
368,0.4057,1.9264,0.2637
369,0.4417,1.8323,0.3013
370,0.4605,1.6497,0.3041
371,0.4531,1.7824,0.2963
372,0.473,2.1671,0.3094
373,0.5101,1.4984,0.3463
374,0.5458,1.1349,0.4045
375,0.5692,1.0481,0.4517
376,0.5709,1.0546,0.4603
377,0.5208,1.0166,0.3699
378,0.4842,0.9314,0.3254
379,0.4526,0.9103,0.3001
380,0.451,0.944,0.2984
381,0.4422,3.8005,0.2763
382,0.4521,5.9165,0.2825
383,0.4687,8.1268,0.3002
384,0.522,9.1956,0.3479
385,0.4857,9.3738,0.3309
386,0.4712,9.4313,0.3162
387,0.454,1.3542,0.3059
388,0.489,9.218,0.3082
389,0.4519,8.1569,0.2777
390,0.4805,9.047,0.3235
391,0.4382,7.5385,0.2685
392,0.4242,6.5754,0.2551
393,0.4246,5.752,0.2607
394,0.4736,6.8334,0.3276
395,0.5907,8.9649,0.441
396,0.5964,10.3302,0.4282
397,0.5472,10.6925,0.343
398,0.5131,10.4421,0.3079
399,0.5434,11.3626,0.3489
400,0.5652,12.1232,0.3868
401,0.5179,11.0734,0.3369
402,0.5188,12.1981,0.3719
403,0.5226,14.6685,0.3979
404,0.5116,14.5328,0.3714
405,0.5225,3.3144,0.3676
406,0.5558,3.2963,0.4041
407,0.5437,3.1161,0.3842
408,0.5555,3.1162,0.4073
409,0.5626,3.2398,0.4237
410,0.5783,3.4007,0.4463
411,0.6099,3.1876,0.4473
412,0.5752,2.8657,0.4029
413,0.5389,2.4872,0.4006
414,0.5551,2.8502,0.4435
415,0.5832,3.0147,0.4635
416,0.5265,2.5746,0.3747
417,0.4824,2.4166,0.3258
418,0.4079,2.1727,0.2554
419,0.3734,2.0127,0.2224
420,0.3967,1.8475,0.2469
421,0.4036,1.4762,0.2565
422,0.3852,0.8003,0.2194
423,0.3471,0.7222,0.2043
424,0.389,0.678,0.2484
425,0.3649,0.7062,0.2276
426,0.3787,0.9367,0.2336
427,0.3933,0.9111,0.2539
428,0.4145,1.6237,0.2436
429,0.4429,1.9171,0.2665
430,0.4825,1.9635,0.3136
431,0.4623,1.809,0.3166
432,0.4076,1.0468,0.2905
433,0.3671,1.0,0.2012
434,0.3442,1.0,0.1696
435,0.3552,1.0,0.1863
436,0.4023,0.9993,0.2496
437,0.4515,0.9979,0.3314
438,0.5006,0.9998,0.4259
439,0.5305,0.9224,0.5186
440,0.5655,0.9152,0.5942
441,0.5858,0.9199,0.6208
442,0.5528,0.9006,0.5921
443,0.5653,1.2103,0.6004
444,0.5696,1.6291,0.6011
445,0.5401,1.5149,0.5821
446,0.5272,1.0346,0.5763
447,0.5284,1.0712,0.5764
448,0.5224,1.2792,0.5719
449,0.5222,1.4165,0.5739
450,0.5393,1.3551,0.5789
451,0.5522,1.0071,0.5897
452,0.5832,1.2982,0.609
453,0.5997,1.405,0.6167
454,0.5893,0.9959,0.6125
455,0.6022,0.9998,0.617
456,0.6056,0.9985,0.6183
457,0.6302,0.9865,0.6362
458,0.6553,0.9686,0.6781
459,0.6791,1.1073,0.733
460,0.7057,1.2023,0.8013
461,0.725,1.1733,0.8707
462,0.7519,1.1469,0.9553
463,0.7707,1.1117,1.0151
464,0.7926,1.2415,1.0701
465,0.8274,1.3252,1.1373
466,0.842,1.4073,1.1536
467,0.8309,1.5931,1.1379
468,0.8477,1.7271,1.1492
469,0.8692,1.8463,1.1622
470,0.8788,1.8984,1.1802
471,0.8695,1.8304,1.1715
472,0.8341,1.2478,1.1387
473,0.812,1.7058,1.1243
474,0.8151,1.5873,1.1232
475,0.8047,1.467,1.1147
476,0.7893,1.0532,1.1041
477,0.7814,1.0,1.0998
478,0.783,1.0,1.101
479,0.7845,1.0,1.102
480,0.789,1.0,1.1047
481,0.7772,1.0,1.0914
482,0.768,1.0,1.0733
483,0.7696,1.0,1.0779
484,0.7639,1.0,1.0584
485,0.757,1.0,1.0332
486,0.7446,1.0,0.9849
487,0.7387,1.0,0.9613
488,0.7351,1.0,0.9487
489,0.7306,1.0,0.937
490,0.7017,0.9997,0.904
491,0.6945,0.9802,0.9005
492,0.6796,0.9581,0.8907
493,0.6882,0.9967,0.8953
494,0.681,0.9584,0.894
495,0.6902,1.0185,0.8983
496,0.7163,1.0468,0.9143
497,0.721,1.013,0.914
498,0.7209,0.9731,0.9135
499,0.7157,1.0,0.9118
500,0.7106,1.0,0.9084
501,0.7074,1.0,0.9075
502,0.7047,1.0,0.9056
503,0.6928,1.0,0.9003
504,0.6793,1.0,0.8951
505,0.6701,0.9653,0.8906
506,0.651,0.9647,0.8666
507,0.6336,0.9743,0.8201
508,0.6221,1.0,0.7755
509,0.6115,0.9871,0.7433
510,0.5981,0.9581,0.7104
511,0.5878,0.9838,0.6733
512,0.5815,0.9844,0.6518
513,0.5737,0.9892,0.6316
514,0.5857,1.0,0.6396
515,0.5752,0.9973,0.6367
516,0.5754,0.9995,0.6386
517,0.563,1.8141,0.6312
518,0.536,1.0523,0.6186
519,0.5957,0.921,0.6599
520,0.6207,0.9679,0.6847
521,0.6609,0.9919,0.7321
522,0.6883,1.0,0.7644
523,0.6923,1.0,0.7657
524,0.6939,1.0,0.7666
525,0.6971,1.0,0.7675
526,0.6921,1.0,0.765
527,0.698,1.0,0.7668
528,0.6984,0.9951,0.7656
529,0.6892,0.974,0.7522
530,0.6567,0.9644,0.7199
531,0.6251,0.9697,0.6726
532,0.6159,0.9832,0.6487
533,0.5982,0.9896,0.6005
534,0.5787,0.9733,0.5605
535,0.5585,0.9572,0.5113
536,0.547,0.9721,0.4703
537,0.5535,0.9858,0.4836
538,0.5754,0.9889,0.5129
539,0.6179,0.9937,0.554
540,0.6287,0.9954,0.5606
541,0.6395,0.9972,0.5715
542,0.6278,1.0003,0.561
543,0.6112,1.0319,0.5339
544,0.5763,1.0109,0.4936
545,0.5574,1.0117,0.4691
546,0.5332,1.0248,0.4497
547,0.5419,1.0327,0.4539
548,0.5504,1.0236,0.4638
549,0.592,1.1655,0.5056
550,0.6343,1.3263,0.5463
551,0.6097,1.2287,0.5289
552,0.6301,1.1829,0.5502
553,0.6315,1.3294,0.5527
554,0.6447,1.4286,0.5663
555,0.6576,1.6305,0.5834
556,0.6554,1.7233,0.5782
557,0.6574,1.8583,0.5636
558,0.6762,1.9724,0.5739
559,0.6625,1.7871,0.5691
560,0.6884,1.9308,0.6038
561,0.7224,2.2339,0.6577
562,0.6734,1.948,0.5829
563,0.6075,1.744,0.4871
564,0.589,1.4646,0.4632
565,0.5905,1.4417,0.464
566,0.5773,1.4418,0.4467
567,0.5161,1.1025,0.3925
568,0.507,1.0171,0.3776
569,0.4862,0.9524,0.3616
570,0.4896,1.0674,0.3632
571,0.4888,1.1971,0.365
572,0.4818,1.6289,0.35
573,0.5549,2.4864,0.4248
574,0.6027,2.7833,0.4959
575,0.6235,2.865,0.5101
576,0.5683,1.9562,0.4535
577,0.565,1.9755,0.4383
578,0.5873,1.8348,0.4597
579,0.5962,1.7497,0.4726
580,0.5834,2.1435,0.4444
581,0.551,1.7984,0.4228
582,0.551,1.8581,0.4245
583,0.5598,1.9114,0.4139
584,0.5552,2.0876,0.3861
585,0.4892,2.0185,0.312
586,0.4511,1.8736,0.278
587,0.4549,1.5095,0.2967
588,0.4656,1.243,0.324
589,0.5155,1.2162,0.4124
590,0.557,1.3156,0.4738
591,0.582,1.2076,0.5049
592,0.6033,1.1383,0.5201
593,0.6267,1.175,0.5364
594,0.6318,1.1949,0.5219
595,0.5625,1.5025,0.4279
596,0.5652,1.1317,0.443
597,0.5361,0.6928,0.3972
598,0.5532,0.7293,0.3815
599,0.5396,0.7044,0.3789
600,0.5094,0.661,0.3608
601,0.4307,0.598,0.2549
602,0.3996,0.5397,0.2442
603,0.4097,0.5053,0.2526
604,0.3224,0.4743,0.2021
605,0.3338,0.6087,0.2162
606,0.3453,0.6345,0.2373
607,0.3965,0.6629,0.254
608,0.3275,0.5835,0.1868
