,GHI_MAE_TRAIN,GHI_MAPE_TRAIN,GHI_RMSE_TRAIN
88,139.8668,2.3071948702132908e+16,45101.7166
89,154.0144,1.9000104957160108e+16,55232.399
90,171.4568,3.2460077912118616e+16,64721.4005
91,185.7464,4.3475167935288664e+16,74459.6448
92,183.4627,3.1263422356127744e+16,75073.5777
93,180.9197,3.0081700222468096e+16,73842.258
94,164.8306,2.4293540480330412e+16,60765.8481
95,130.4688,1.6216261774715562e+16,37833.4223
96,93.5277,1.1127327540204886e+16,19905.5269
97,74.9367,8706443454010709.0,12089.8417
98,68.1943,2.168689547944482e+16,9050.6047
99,67.1986,2.8008749826310144e+16,8445.4884
100,67.2303,4.073430592223095e+16,8133.9128
101,67.9751,4.880418690459238e+16,7853.4168
102,69.8629,5.2524602824676696e+16,8158.8313
103,70.1939,5.095839002892698e+16,8383.8455
104,69.2199,3.6262566809654616e+16,8757.9973
105,72.6751,2.5644543560209748e+16,10086.6858
106,70.1759,2.2978216980032172e+16,9720.8629
107,71.5127,2.7705407381525844e+16,9676.8872
108,76.3065,3.2685323176990036e+16,10788.0704
109,75.0044,1.5376764782684842e+16,11628.0364
110,68.0388,8999612743068331.0,10778.2177
111,63.8023,1.676577528086528e+16,9648.1223
112,54.2899,2.5301194926718976e+16,7384.5277
113,56.0817,2.618904895553536e+16,7530.1354
114,62.4284,2.761140754832862e+16,8282.883
115,61.0287,1.6575692555332266e+16,8367.6191
116,64.3915,3.0297759402338988e+16,8590.6132
117,71.6709,3.1091262797556396e+16,9263.2231
118,79.959,2.188588059844062e+16,11713.2513
119,75.9259,1.8954852376423084e+16,10753.5026
120,74.2636,1.5920398657563308e+16,10640.9356
121,70.9229,9102816679996078.0,10270.4371
122,65.7087,1.7902569014340266e+16,8735.2842
123,66.3704,2.7499405001796268e+16,8452.9239
124,65.3373,4.1147726589242024e+16,8227.0923
125,63.7645,5.576486108633498e+16,7627.1096
126,61.5169,7.627465814337126e+16,5575.624
127,65.2368,1.0838698865966011e+17,5571.3412
128,63.9691,1.1813089399100757e+17,5407.0531
129,66.1848,1.1737564314040184e+17,8355.4043
130,82.3179,1.1435731084972306e+17,15849.5544
131,85.6317,7.31964353970613e+16,18391.7765
132,83.3555,3.489237873721344e+16,18249.5507
133,82.2068,1.4981016245152426e+16,17207.9628
134,81.8789,1.100738628349679e+16,16223.5604
135,78.0655,8260779259549014.0,14537.891
136,75.038,7545342733407573.0,14467.5017
137,71.692,9737099060882090.0,12868.894
138,72.7057,1.6368783490110806e+16,13321.6374
139,72.5078,2.011751174513186e+16,12932.8858
140,81.0216,4.1168697214457176e+16,13994.0052
141,87.4935,3.58480220244323e+16,15176.0221
142,92.6061,2.6411848147053228e+16,16930.8585
143,87.1791,2.6267683185317204e+16,15479.2193
144,83.0442,2.7624796572002988e+16,14737.8668
145,83.2824,4.2860307217558184e+16,15614.6156
146,88.7688,6.640400801394415e+16,17734.0291
147,85.107,5.3258340363053736e+16,15431.9652
148,86.0293,6.64959073620678e+16,15392.2891
149,97.2121,1.1112656605247352e+17,16481.5648
150,94.7819,1.132717777298828e+17,16701.4809
151,96.1971,9.545023273671066e+16,18597.7859
152,91.5219,7.618375471315899e+16,17644.3557
153,86.2062,5.448042650988271e+16,15967.3683
154,87.0374,4.9055092093659816e+16,16057.6692
155,84.7215,4.667036841087249e+16,15843.1629
156,71.4171,3.826127699600998e+16,9770.4261
157,64.8626,1.338640423644911e+16,8614.2035
158,61.3028,9087064887437994.0,7627.1989
159,55.9577,2.4774384975609856e+16,6270.7614
160,50.6131,2.447835274412032e+16,5675.0267
161,49.4252,1.6190510582464512e+16,6032.4893
162,50.0913,8695786924321451.0,6666.0764
163,55.9625,9586271083735724.0,7695.5487
164,57.9394,2.1494733989740544e+16,7519.7851
165,70.1799,1.8352329399642796e+16,9145.2375
166,76.6642,1.1792394278141954e+16,11391.0409
167,71.7586,1.1394508865754454e+16,9892.8548
168,66.6891,7316014654728876.0,8971.2574
169,67.0626,5220482640336215.0,9152.7569
170,67.582,7133068800294913.0,9275.8801
171,64.1262,1.5425328156857686e+16,8029.9149
172,63.5511,1.8701768296759296e+16,7899.449
173,66.1164,1.8685162163623252e+16,9120.0555
174,62.9265,2.8584075012166996e+16,8347.554
175,65.3357,5.917305829588992e+16,10247.5747
176,68.9016,6.5802813121582424e+16,11234.9475
177,60.6049,4.182848033731379e+16,8252.1016
178,56.1642,2.7453546114842624e+16,6682.2974
179,55.1922,2.9788310469607424e+16,6522.1385
180,57.2748,2.1971465338006188e+16,7925.4767
181,55.6356,1.0272832343419562e+16,7710.4072
