,TEMPERATURE_MAE_TRAIN,TEMPERATURE_MAPE_TRAIN,TEMPERATURE_RMSE_TRAIN
547,0.5225,1.0,0.385
548,0.5208,1.0,0.3829
549,0.5191,1.0,0.3807
550,0.5172,0.999,0.3782
551,0.5139,0.9926,0.3749
552,0.5098,0.9835,0.3712
553,0.5091,0.9826,0.369
554,0.5124,1.0,0.3703
555,0.5124,1.0,0.3703
556,0.5141,1.0,0.3736
557,0.5158,1.0,0.3771
558,0.5107,0.9763,0.375
559,0.4943,0.9599,0.365
560,0.4771,1.0318,0.359
561,0.474,1.2255,0.3582
562,0.4816,0.8613,0.3596
563,0.504,0.9262,0.3668
564,0.5195,0.9613,0.3738
565,0.5284,0.9751,0.3783
566,0.5333,0.9681,0.3816
567,0.5411,0.9696,0.3856
568,0.5528,0.9764,0.3911
569,0.5514,1.0,0.3925
570,0.5429,1.0,0.3882
571,0.5328,1.0,0.3803
572,0.5211,0.9939,0.3698
573,0.4979,0.9649,0.35
574,0.4612,0.9011,0.3235
575,0.4398,0.881,0.3057
576,0.4359,0.9083,0.2937
577,0.4298,0.9453,0.2774
578,0.4185,0.9694,0.2551
579,0.4007,0.9868,0.2263
580,0.3822,0.996,0.1965
581,0.3619,1.0,0.1637
582,0.3429,0.999,0.1359
583,0.3239,0.9743,0.1209
584,0.3113,0.9361,0.1146
585,0.3098,1.0668,0.1141
586,0.3083,1.0112,0.1145
587,0.307,0.9855,0.1141
588,0.2966,0.9889,0.1086
589,0.2842,0.9798,0.1025
590,0.2698,0.9547,0.0967
591,0.2632,1.1965,0.0937
592,0.2645,1.1776,0.094
593,0.2657,1.0077,0.094
594,0.2682,1.0,0.0951
595,0.2723,1.3229,0.0967
596,0.2737,1.3363,0.0977
597,0.271,1.3298,0.097
598,0.2739,1.4203,0.0971
599,0.2849,1.7885,0.1002
600,0.2889,1.9071,0.1016
601,0.2899,2.0191,0.1027
602,0.2834,1.7409,0.1002
603,0.2671,1.3026,0.0973
604,0.3028,1.8999,0.1117
605,0.3511,2.7203,0.143
606,0.3729,2.9147,0.1585
607,0.5493,4.949,0.315
608,0.52,4.3863,0.2779
609,0.5064,3.8743,0.2657
610,0.5021,3.7029,0.2696
611,0.5093,3.6697,0.2826
612,0.5381,3.8662,0.3229
613,0.5565,3.8,0.3604
614,0.6287,4.0229,0.4806
615,0.773,2.4079,0.7618
616,0.803,2.1416,0.8394
617,0.5849,1.2533,0.4486
618,0.6127,1.1604,0.5115
619,0.637,1.0747,0.5751
620,0.6689,1.0296,0.6479
621,0.7233,1.027,0.7593
622,0.7716,1.0072,0.8708
623,0.8336,1.0,1.0076
624,0.903,1.0,1.1662
625,0.9706,1.0,1.3346
626,1.0383,1.0,1.5086
627,1.106,1.0,1.688
628,1.1719,1.0,1.8656
629,1.2362,1.0,2.0413
630,1.3022,1.0,2.219
631,1.3749,1.0,2.3912
632,1.4477,1.0,2.5516
633,1.5187,1.0,2.6996
634,1.5847,1.0,2.8344
635,1.6456,1.0,2.9563
636,1.7014,1.0,3.0749
637,1.7488,1.0,3.1851
638,1.786,1.0,3.2808
639,1.8131,1.0,3.357
640,1.8368,1.0,3.4275
641,1.8588,1.0,3.4956
