date,time,KW_TRUE,TEMPERATURE_TRUE,GHI_TRUE
2019-08-05,17:00:00,702.17,30.1,275
2019-08-05,18:00:00,671.14,29.7,62
2019-08-05,19:00:00,614.93,29.6,0
2019-08-05,20:00:00,576.82,29.5,0
2019-08-05,21:00:00,569.27,29.5,0
2019-08-05,22:00:00,598.03,29.5,0
2019-08-05,23:00:00,626.44,29.4,0
2019-08-06,00:00:00,612.35,29.2,0
2019-08-06,01:00:00,590.86,29.1,0
2019-08-06,02:00:00,555.64,29.0,0
2019-08-06,03:00:00,513.7,28.9,0
2019-08-06,04:00:00,494.61,28.9,0
2019-08-06,05:00:00,491.5,28.9,0
2019-08-06,06:00:00,450.51,29.3,74
2019-08-06,07:00:00,454.73,29.6,280
2019-08-06,08:00:00,532.38,30.0,503
2019-08-06,09:00:00,641.01,30.3,703
2019-08-06,10:00:00,682.08,30.6,860
2019-08-06,11:00:00,707.9,30.8,960
2019-08-06,12:00:00,703.88,31.0,992
2019-08-06,13:00:00,745.05,31.0,956
2019-08-06,14:00:00,745.8,30.9,855
2019-08-06,15:00:00,737.51,30.8,696
2019-08-06,16:00:00,696.92,30.4,494
2019-08-06,17:00:00,657.07,29.9,272
2019-08-06,18:00:00,585.31,29.3,70
2019-08-06,19:00:00,551.11,29.0,0
2019-08-06,20:00:00,535.73,28.9,0
2019-08-06,21:00:00,536.75,28.8,0
2019-08-06,22:00:00,557.45,28.7,0
2019-08-06,23:00:00,577.8,28.6,0
2019-08-07,00:00:00,599.67,28.6,0
2019-08-07,01:00:00,572.21,28.5,0
2019-08-07,02:00:00,545.51,28.5,0
2019-08-07,03:00:00,507.5,28.5,0
2019-08-07,04:00:00,499.96,28.5,0
2019-08-07,05:00:00,479.13,28.6,0
2019-08-07,06:00:00,453.85,29.2,68
2019-08-07,07:00:00,444.74,29.7,269
2019-08-07,08:00:00,522.17,30.2,486
2019-08-07,09:00:00,649.82,30.6,296
2019-08-07,10:00:00,687.68,30.8,315
2019-08-07,11:00:00,683.32,30.9,438
2019-08-07,12:00:00,666.0,30.9,177
2019-08-07,13:00:00,690.65,30.8,553
2019-08-07,14:00:00,693.11,30.7,417
2019-08-07,15:00:00,691.27,30.4,609
2019-08-07,16:00:00,722.77,30.1,470
2019-08-07,17:00:00,647.45,29.7,254
2019-08-07,18:00:00,588.33,29.3,61
2019-08-07,19:00:00,552.81,29.2,0
2019-08-07,20:00:00,536.37,29.2,0
2019-08-07,21:00:00,530.85,29.2,0
2019-08-07,22:00:00,542.64,29.3,0
2019-08-07,23:00:00,611.1,29.3,0
2019-08-08,00:00:00,595.6,29.3,0
2019-08-08,01:00:00,559.37,29.3,0
2019-08-08,02:00:00,521.79,29.3,0
2019-08-08,03:00:00,484.65,29.2,0
2019-08-08,04:00:00,482.2,29.2,0
2019-08-08,05:00:00,470.62,29.2,0
2019-08-08,06:00:00,427.16,29.5,12
2019-08-08,07:00:00,433.66,29.8,73
2019-08-08,08:00:00,501.6,30.0,145
2019-08-08,09:00:00,569.26,30.3,415
2019-08-08,10:00:00,665.92,30.4,491
2019-08-08,11:00:00,706.59,30.4,569
2019-08-08,12:00:00,685.81,30.3,803
2019-08-08,13:00:00,657.55,30.2,170
2019-08-08,14:00:00,668.74,30.0,65
2019-08-08,15:00:00,705.57,29.9,45
2019-08-08,16:00:00,652.96,29.8,254
2019-08-08,17:00:00,581.27,29.6,215
2019-08-08,18:00:00,521.75,29.4,54
2019-08-08,19:00:00,477.58,29.3,0
2019-08-08,20:00:00,450.15,29.2,0
2019-08-08,21:00:00,463.06,29.2,0
2019-08-08,22:00:00,468.32,29.2,0
2019-08-08,23:00:00,480.81,29.2,0
2019-08-09,00:00:00,503.28,29.1,0
2019-08-09,01:00:00,539.88,29.0,0
2019-08-09,02:00:00,480.35,29.0,0
2019-08-09,03:00:00,448.55,28.9,0
2019-08-09,04:00:00,438.31,28.9,0
2019-08-09,05:00:00,438.38,28.9,0
2019-08-09,06:00:00,414.52,29.0,11
2019-08-09,07:00:00,411.03,29.1,58
2019-08-09,08:00:00,385.0,29.3,29
2019-08-09,09:00:00,391.0,29.5,232
2019-08-09,10:00:00,396.36,29.8,256
2019-08-09,11:00:00,409.42,30.2,151
2019-08-09,12:00:00,412.64,30.4,292
2019-08-09,13:00:00,406.23,30.7,337
2019-08-09,14:00:00,381.84,31.0,260
2019-08-09,15:00:00,480.6,31.1,394
2019-08-09,16:00:00,392.01,30.9,302
2019-08-09,17:00:00,406.32,30.6,136
2019-08-09,18:00:00,404.21,30.3,34
2019-08-09,19:00:00,389.85,30.3,0
2019-08-09,20:00:00,389.79,30.2,0
2019-08-09,21:00:00,385.19,30.2,0
2019-08-09,22:00:00,404.48,30.2,0
2019-08-09,23:00:00,454.39,30.4,0
2019-08-10,00:00:00,458.98,30.6,0
2019-08-10,01:00:00,450.66,30.7,0
2019-08-10,02:00:00,419.66,30.7,0
2019-08-10,03:00:00,425.58,30.6,0
2019-08-10,04:00:00,406.24,30.5,0
2019-08-10,05:00:00,400.65,30.6,0
2019-08-10,06:00:00,392.48,30.9,14
2019-08-10,07:00:00,380.5,31.3,45
2019-08-10,08:00:00,398.14,31.7,138
2019-08-10,09:00:00,443.27,32.1,404
2019-08-10,10:00:00,473.48,32.4,725
2019-08-10,11:00:00,484.4,32.6,695
2019-08-10,12:00:00,457.93,32.7,853
2019-08-10,13:00:00,491.4,32.7,791
2019-08-10,14:00:00,504.66,32.5,772
2019-08-10,15:00:00,512.86,32.2,670
2019-08-10,16:00:00,511.94,31.9,472
2019-08-10,17:00:00,493.43,31.3,254
2019-08-10,18:00:00,474.1,30.8,59
2019-08-10,19:00:00,461.01,30.7,0
2019-08-10,20:00:00,486.3,30.6,0
2019-08-10,21:00:00,475.93,30.7,0
2019-08-10,22:00:00,507.02,30.6,0
2019-08-10,23:00:00,529.04,30.5,0
2019-08-11,00:00:00,532.02,30.4,0
2019-08-11,01:00:00,488.25,30.4,0
2019-08-11,02:00:00,457.28,30.2,0
2019-08-11,03:00:00,430.14,30.0,0
2019-08-11,04:00:00,415.46,29.9,0
2019-08-11,05:00:00,405.67,29.9,0
2019-08-11,06:00:00,383.29,30.2,52
2019-08-11,07:00:00,388.4,30.6,195
2019-08-11,08:00:00,401.86,31.0,406
2019-08-11,09:00:00,419.32,31.4,588
2019-08-11,10:00:00,432.3,31.6,732
2019-08-11,11:00:00,425.52,31.7,810
2019-08-11,12:00:00,445.44,31.8,817
2019-08-11,13:00:00,470.97,31.9,897
2019-08-11,14:00:00,504.55,31.9,740
2019-08-11,15:00:00,535.35,31.7,588
2019-08-11,16:00:00,513.68,31.2,399
2019-08-11,17:00:00,487.75,30.7,201
2019-08-11,18:00:00,470.9,30.2,48
2019-08-11,19:00:00,468.48,29.9,0
2019-08-11,20:00:00,457.71,29.7,0
2019-08-11,21:00:00,467.76,29.6,0
2019-08-11,22:00:00,524.95,29.4,0
2019-08-11,23:00:00,569.65,29.3,0
2019-08-12,00:00:00,561.74,29.1,0
2019-08-12,01:00:00,523.25,29.0,0
2019-08-12,02:00:00,495.57,28.9,0
2019-08-12,03:00:00,473.14,28.8,0
2019-08-12,04:00:00,439.9,28.8,0
2019-08-12,05:00:00,426.38,28.8,0
2019-08-12,06:00:00,408.43,29.3,5
2019-08-12,07:00:00,419.75,30.0,117
2019-08-12,08:00:00,500.95,30.8,162
2019-08-12,09:00:00,616.66,31.1,322
2019-08-12,10:00:00,689.1,31.0,431
2019-08-12,11:00:00,697.95,30.9,211
2019-08-12,12:00:00,681.88,30.9,418
2019-08-12,13:00:00,719.58,30.8,743
2019-08-12,14:00:00,686.43,30.6,317
2019-08-12,15:00:00,673.51,30.4,357
2019-08-12,16:00:00,660.1,30.2,369
2019-08-12,17:00:00,629.75,30.0,157
2019-08-12,18:00:00,597.48,29.7,39
2019-08-12,19:00:00,579.67,29.5,0
2019-08-12,20:00:00,568.34,29.3,0
2019-08-12,21:00:00,545.67,29.2,0
2019-08-12,22:00:00,565.75,29.1,0
2019-08-12,23:00:00,608.15,29.0,0
2019-08-13,00:00:00,622.35,29.0,0
2019-08-13,01:00:00,567.33,28.9,0
2019-08-13,02:00:00,529.1,28.8,0
2019-08-13,03:00:00,476.84,28.6,0
2019-08-13,04:00:00,464.03,28.5,0
2019-08-13,05:00:00,441.86,28.4,0
2019-08-13,06:00:00,419.38,29.1,53
2019-08-13,07:00:00,436.56,30.0,244
2019-08-13,08:00:00,530.53,31.0,456
2019-08-13,09:00:00,600.73,31.5,629
2019-08-13,10:00:00,667.64,31.8,803
2019-08-13,11:00:00,681.28,32.0,905
2019-08-13,12:00:00,672.19,32.1,936
2019-08-13,13:00:00,679.61,32.0,897
2019-08-13,14:00:00,710.12,31.8,806
2019-08-13,15:00:00,713.34,31.5,621
2019-08-13,16:00:00,701.66,31.1,451
2019-08-13,17:00:00,660.36,30.7,237
2019-08-13,18:00:00,610.94,29.9,47
2019-08-13,19:00:00,592.17,29.5,0
2019-08-13,20:00:00,562.43,29.2,0
2019-08-13,21:00:00,547.55,29.0,0
2019-08-13,22:00:00,567.59,28.8,0
2019-08-13,23:00:00,586.22,28.8,0
2019-08-14,00:00:00,566.84,28.7,0
2019-08-14,01:00:00,545.2,28.6,0
2019-08-14,02:00:00,494.68,28.4,0
2019-08-14,03:00:00,465.0,28.3,0
2019-08-14,04:00:00,447.72,28.2,0
2019-08-14,05:00:00,421.05,28.2,0
2019-08-14,06:00:00,408.26,29.0,57
2019-08-14,07:00:00,427.33,29.8,251
2019-08-14,08:00:00,569.75,30.7,466
2019-08-14,09:00:00,618.43,31.3,661
2019-08-14,10:00:00,702.06,31.7,815
2019-08-14,11:00:00,716.41,32.0,920
2019-08-14,12:00:00,682.79,32.3,952
2019-08-14,13:00:00,720.1,32.3,916
2019-08-14,14:00:00,761.4,32.2,576
2019-08-14,15:00:00,730.61,31.9,657
2019-08-14,16:00:00,703.51,31.4,457
2019-08-14,17:00:00,642.34,30.9,240
2019-08-14,18:00:00,618.37,30.1,48
2019-08-14,19:00:00,601.62,29.8,0
2019-08-14,20:00:00,584.6,29.6,0
2019-08-14,21:00:00,573.91,29.4,0
2019-08-14,22:00:00,629.36,29.4,0
2019-08-14,23:00:00,662.76,29.2,0
2019-08-15,00:00:00,648.76,29.0,0
2019-08-15,01:00:00,603.42,28.8,0
2019-08-15,02:00:00,564.06,28.7,0
2019-08-15,03:00:00,516.02,28.6,0
2019-08-15,04:00:00,490.89,28.4,0
2019-08-15,05:00:00,461.87,28.3,0
2019-08-15,06:00:00,445.2,29.1,54
2019-08-15,07:00:00,516.29,30.0,192
2019-08-15,08:00:00,562.15,30.9,431
2019-08-15,09:00:00,611.8,31.5,305
2019-08-15,10:00:00,715.6,31.9,560
2019-08-15,11:00:00,741.95,32.1,456
2019-08-15,12:00:00,719.92,32.2,123
2019-08-15,13:00:00,735.74,32.1,454
2019-08-15,14:00:00,759.89,31.8,689
2019-08-15,15:00:00,757.12,31.5,522
2019-08-15,16:00:00,707.1,31.1,236
2019-08-15,17:00:00,667.34,30.6,62
2019-08-15,18:00:00,625.64,30.1,11
2019-08-15,19:00:00,586.94,29.9,0
2019-08-15,20:00:00,543.27,29.7,0
2019-08-15,21:00:00,533.89,29.5,0
2019-08-15,22:00:00,564.95,29.3,0
2019-08-15,23:00:00,603.8,29.1,0
2019-08-16,00:00:00,573.73,29.0,0
2019-08-16,01:00:00,546.0,28.8,0
2019-08-16,02:00:00,508.97,28.7,0
2019-08-16,03:00:00,487.02,28.6,0
2019-08-16,04:00:00,460.8,28.5,0
2019-08-16,05:00:00,445.72,28.5,0
2019-08-16,06:00:00,431.04,28.9,21
2019-08-16,07:00:00,431.93,29.3,199
2019-08-16,08:00:00,500.12,30.0,400
2019-08-16,09:00:00,532.39,30.7,349
2019-08-16,10:00:00,614.93,31.1,645
2019-08-16,11:00:00,638.86,31.3,540
2019-08-16,12:00:00,613.67,31.4,640
2019-08-16,13:00:00,650.83,31.4,759
2019-08-16,14:00:00,671.32,31.2,691
2019-08-16,15:00:00,683.72,30.9,398
2019-08-16,16:00:00,666.37,30.7,296
2019-08-16,17:00:00,628.43,30.3,224
2019-08-16,18:00:00,603.15,29.8,39
2019-08-16,19:00:00,588.6,29.6,0
2019-08-16,20:00:00,536.45,29.4,0
2019-08-16,21:00:00,534.78,29.2,0
2019-08-16,22:00:00,544.37,29.0,0
2019-08-16,23:00:00,617.31,28.8,0
2019-08-17,00:00:00,593.37,28.7,0
2019-08-17,01:00:00,542.15,28.6,0
2019-08-17,02:00:00,509.47,28.5,0
2019-08-17,03:00:00,467.5,28.5,0
2019-08-17,04:00:00,445.97,28.5,0
2019-08-17,05:00:00,435.67,28.6,0
2019-08-17,06:00:00,390.12,29.2,33
2019-08-17,07:00:00,410.21,29.7,234
2019-08-17,08:00:00,454.01,30.4,407
2019-08-17,09:00:00,461.45,31.0,484
2019-08-17,10:00:00,471.76,31.4,784
2019-08-17,11:00:00,493.37,31.6,888
2019-08-17,12:00:00,509.93,31.7,914
2019-08-17,13:00:00,547.36,31.7,872
2019-08-17,14:00:00,535.02,31.5,782
2019-08-17,15:00:00,526.11,31.2,448
2019-08-17,16:00:00,524.7,30.8,370
2019-08-17,17:00:00,529.9,30.2,126
2019-08-17,18:00:00,467.23,29.6,31
2019-08-17,19:00:00,492.0,29.3,0
2019-08-17,20:00:00,490.01,29.1,0
2019-08-17,21:00:00,512.18,29.0,0
2019-08-17,22:00:00,548.12,28.8,0
2019-08-17,23:00:00,575.01,28.5,0
2019-08-18,00:00:00,574.35,28.3,0
2019-08-18,01:00:00,549.15,28.1,0
2019-08-18,02:00:00,500.73,27.9,0
2019-08-18,03:00:00,474.58,27.8,0
2019-08-18,04:00:00,448.23,27.7,0
2019-08-18,05:00:00,429.23,27.8,0
2019-08-18,06:00:00,409.87,28.5,49
2019-08-18,07:00:00,412.16,29.2,237
2019-08-18,08:00:00,423.37,30.2,445
2019-08-18,09:00:00,428.8,30.7,632
2019-08-18,10:00:00,446.04,30.7,427
2019-08-18,11:00:00,464.09,30.6,547
2019-08-18,12:00:00,491.2,30.3,74
2019-08-18,13:00:00,511.51,30.1,360
2019-08-18,14:00:00,523.4,29.9,225
2019-08-18,15:00:00,527.55,29.6,222
2019-08-18,16:00:00,525.97,29.2,185
2019-08-18,17:00:00,526.03,28.9,55
2019-08-18,18:00:00,507.15,28.5,16
2019-08-18,19:00:00,512.07,28.3,0
2019-08-18,20:00:00,521.25,28.1,0
2019-08-18,21:00:00,550.77,28.0,0
2019-08-18,22:00:00,580.38,27.9,0
2019-08-18,23:00:00,615.16,27.8,0
2019-08-19,00:00:00,606.97,27.7,0
2019-08-19,01:00:00,561.73,27.6,0
2019-08-19,02:00:00,522.5,27.6,0
2019-08-19,03:00:00,480.28,27.6,0
2019-08-19,04:00:00,455.54,27.6,0
2019-08-19,05:00:00,438.01,27.6,0
2019-08-19,06:00:00,421.9,27.9,31
2019-08-19,07:00:00,439.56,28.2,148
2019-08-19,08:00:00,516.52,28.6,118
2019-08-19,09:00:00,611.12,28.9,390
2019-08-19,10:00:00,670.74,29.0,564
2019-08-19,11:00:00,695.86,29.0,622
2019-08-19,12:00:00,696.0,28.9,627
2019-08-19,13:00:00,710.84,28.8,687
2019-08-19,14:00:00,717.06,28.6,384
2019-08-19,15:00:00,714.76,28.5,229
2019-08-19,16:00:00,686.28,28.3,24
2019-08-19,17:00:00,667.33,28.1,59
2019-08-19,18:00:00,632.88,27.9,19
2019-08-19,19:00:00,609.65,27.9,0
2019-08-19,20:00:00,593.86,27.9,0
2019-08-19,21:00:00,593.9,27.9,0
2019-08-19,22:00:00,610.09,27.8,0
2019-08-19,23:00:00,623.57,27.7,0
2019-08-20,00:00:00,620.72,27.6,0
2019-08-20,01:00:00,574.62,27.4,0
2019-08-20,02:00:00,529.71,27.3,0
2019-08-20,03:00:00,490.25,27.2,0
2019-08-20,04:00:00,464.77,27.2,0
2019-08-20,05:00:00,443.88,27.2,0
2019-08-20,06:00:00,424.75,27.8,36
2019-08-20,07:00:00,441.3,28.3,158
2019-08-20,08:00:00,509.06,28.8,412
2019-08-20,09:00:00,608.57,29.2,651
2019-08-20,10:00:00,662.02,29.4,136
2019-08-20,11:00:00,682.63,29.6,368
2019-08-20,12:00:00,690.28,29.5,761
2019-08-20,13:00:00,703.95,29.3,421
2019-08-20,14:00:00,716.86,29.2,230
2019-08-20,15:00:00,710.94,29.0,515
2019-08-20,16:00:00,693.53,28.7,318
2019-08-20,17:00:00,664.51,28.5,94
2019-08-20,18:00:00,629.25,28.2,23
2019-08-20,19:00:00,606.06,28.0,0
2019-08-20,20:00:00,588.49,28.0,0
2019-08-20,21:00:00,591.58,27.9,0
2019-08-20,22:00:00,605.24,27.9,0
2019-08-20,23:00:00,606.65,27.7,0
2019-08-21,00:00:00,588.03,27.6,0
2019-08-21,01:00:00,554.26,27.5,0
2019-08-21,02:00:00,512.84,27.3,0
2019-08-21,03:00:00,473.25,27.3,0
2019-08-21,04:00:00,450.68,27.2,0
2019-08-21,05:00:00,430.44,27.3,0
2019-08-21,06:00:00,409.51,27.9,19
2019-08-21,07:00:00,428.85,28.3,236
2019-08-21,08:00:00,513.3,28.4,381
2019-08-21,09:00:00,601.16,28.6,595
2019-08-21,10:00:00,673.35,28.7,689
2019-08-21,11:00:00,691.69,28.8,791
2019-08-21,12:00:00,701.78,28.8,338
2019-08-21,13:00:00,713.83,28.9,704
2019-08-21,14:00:00,729.39,28.8,223
2019-08-21,15:00:00,721.83,28.8,482
2019-08-21,16:00:00,706.08,28.7,400
2019-08-21,17:00:00,668.35,28.5,195
2019-08-21,18:00:00,632.7,28.2,22
2019-08-21,19:00:00,615.57,28.3,0
2019-08-21,20:00:00,593.51,28.3,0
2019-08-21,21:00:00,587.54,28.3,0
2019-08-21,22:00:00,609.89,28.2,0
2019-08-21,23:00:00,632.72,28.2,0
2019-08-22,00:00:00,620.87,28.2,0
2019-08-22,01:00:00,580.45,28.2,0
2019-08-22,02:00:00,532.36,28.1,0
2019-08-22,03:00:00,489.49,28.1,0
2019-08-22,04:00:00,464.05,28.1,0
2019-08-22,05:00:00,445.86,28.1,0
2019-08-22,06:00:00,424.88,28.7,48
2019-08-22,07:00:00,448.19,29.6,242
2019-08-22,08:00:00,526.87,30.1,459
2019-08-22,09:00:00,620.73,30.5,659
2019-08-22,10:00:00,680.85,30.9,816
2019-08-22,11:00:00,677.67,31.0,935
2019-08-22,12:00:00,684.55,31.1,963
2019-08-22,13:00:00,708.65,31.0,922
2019-08-22,14:00:00,735.14,30.7,818
2019-08-22,15:00:00,722.17,30.3,305
2019-08-22,16:00:00,708.08,29.8,449
2019-08-22,17:00:00,662.0,29.4,228
2019-08-22,18:00:00,615.14,28.9,37
2019-08-22,19:00:00,555.56,28.8,0
2019-08-22,20:00:00,505.14,28.8,0
2019-08-22,21:00:00,513.61,28.7,0
2019-08-22,22:00:00,523.12,28.7,0
2019-08-22,23:00:00,525.68,28.6,0
2019-08-23,00:00:00,516.65,28.4,0
2019-08-23,01:00:00,485.83,28.1,0
2019-08-23,02:00:00,439.58,28.0,0
2019-08-23,03:00:00,445.09,28.0,0
2019-08-23,04:00:00,422.94,28.0,0
2019-08-23,05:00:00,420.13,28.0,0
2019-08-23,06:00:00,404.67,28.9,54
2019-08-23,07:00:00,424.8,29.5,252
2019-08-23,08:00:00,484.71,30.0,471
2019-08-23,09:00:00,532.02,30.5,670
2019-08-23,10:00:00,615.81,30.8,826
2019-08-23,11:00:00,640.16,30.9,931
2019-08-23,12:00:00,610.17,31.0,960
2019-08-23,13:00:00,601.16,30.9,918
2019-08-23,14:00:00,619.58,30.7,195
2019-08-23,15:00:00,641.74,30.4,648
2019-08-23,16:00:00,627.81,30.0,200
2019-08-23,17:00:00,605.39,29.6,222
2019-08-23,18:00:00,572.21,29.2,34
2019-08-23,19:00:00,546.25,29.0,0
2019-08-23,20:00:00,525.54,29.0,0
2019-08-23,21:00:00,520.51,29.0,0
2019-08-23,22:00:00,539.11,28.9,0
2019-08-23,23:00:00,574.16,28.8,0
2019-08-24,00:00:00,575.98,28.7,0
2019-08-24,01:00:00,545.22,28.6,0
2019-08-24,02:00:00,508.83,28.5,0
2019-08-24,03:00:00,475.2,28.6,0
2019-08-24,04:00:00,447.73,28.6,0
2019-08-24,05:00:00,430.07,28.7,0
2019-08-24,06:00:00,414.02,28.9,45
2019-08-24,07:00:00,421.07,29.1,228
2019-08-24,08:00:00,443.69,29.4,381
2019-08-24,09:00:00,459.08,29.8,599
2019-08-24,10:00:00,483.24,30.0,381
2019-08-24,11:00:00,506.17,30.1,580
2019-08-24,12:00:00,509.95,30.2,795
2019-08-24,13:00:00,531.15,30.1,578
2019-08-24,14:00:00,532.66,30.0,536
2019-08-24,15:00:00,537.22,29.8,330
2019-08-24,16:00:00,528.46,29.6,213
2019-08-24,17:00:00,516.6,29.4,80
2019-08-24,18:00:00,496.21,29.2,15
2019-08-24,19:00:00,494.35,29.1,0
2019-08-24,20:00:00,499.47,29.1,0
2019-08-24,21:00:00,512.18,29.0,0
2019-08-24,22:00:00,548.12,29.0,0
2019-08-24,23:00:00,575.01,29.0,0
2019-08-25,00:00:00,574.35,29.0,0
2019-08-25,01:00:00,549.15,28.9,0
2019-08-25,02:00:00,500.73,28.9,0
2019-08-25,03:00:00,474.58,28.9,0
2019-08-25,04:00:00,448.23,28.7,0
2019-08-25,05:00:00,429.23,28.5,0
2019-08-25,06:00:00,409.87,28.9,49
2019-08-25,07:00:00,412.16,29.4,143
2019-08-25,08:00:00,423.37,30.1,266
2019-08-25,09:00:00,428.8,30.7,483
2019-08-25,10:00:00,446.04,31.0,455
2019-08-25,11:00:00,464.09,31.0,494
2019-08-25,12:00:00,491.2,30.8,741
2019-08-25,13:00:00,511.51,30.8,606
2019-08-25,14:00:00,523.4,30.7,706
2019-08-25,15:00:00,527.55,30.5,505
2019-08-25,16:00:00,525.97,30.1,392
2019-08-25,17:00:00,526.03,29.7,204
2019-08-25,18:00:00,507.15,29.3,23
2019-08-25,19:00:00,512.07,29.1,0
2019-08-25,20:00:00,521.25,29.0,0
2019-08-25,21:00:00,550.77,28.9,0
2019-08-25,22:00:00,580.38,28.9,0
2019-08-25,23:00:00,615.16,28.8,0
2019-08-26,00:00:00,606.97,28.7,0
2019-08-26,01:00:00,561.73,28.6,0
2019-08-26,02:00:00,522.5,28.5,0
2019-08-26,03:00:00,480.28,28.4,0
2019-08-26,04:00:00,455.54,28.3,0
