datetime,pred_KW,pred_GHI,pred_OT
2019-08-08 12:00:00,711.4553,552.198,30.424314
2019-08-08 13:00:00,709.9354,621.4597,30.138021
2019-08-08 14:00:00,668.61,361.2492,30.116447
2019-08-08 15:00:00,653.3559,223.01175,29.828638
2019-08-08 16:00:00,670.18646,158.98825,29.89783
2019-08-08 17:00:00,669.68774,133.54012,29.82758
2019-08-08 18:00:00,585.6011,0.0,29.436514
2019-08-08 19:00:00,512.42426,0.0,29.35962
2019-08-08 20:00:00,480.95795,0.0,29.312223
2019-08-08 21:00:00,477.45212,0.0,29.207323
2019-08-08 22:00:00,503.11334,0.0,29.191368
2019-08-08 23:00:00,521.8731,0.0,29.11432
2019-08-09 00:00:00,522.641,0.0,29.228668
2019-08-09 01:00:00,502.32733,0.0,29.249435
2019-08-09 02:00:00,524.854,0.0,29.086586
2019-08-09 03:00:00,493.43045,0.0,28.985378
2019-08-09 04:00:00,464.7811,0.0,28.6321
2019-08-09 05:00:00,440.44275,0.0,28.623323
2019-08-09 06:00:00,432.7844,62.04119,28.765642
2019-08-09 07:00:00,450.249,98.088776,28.697603
2019-08-09 08:00:00,470.07135,184.1834,28.601875
2019-08-09 09:00:00,461.73096,144.08977,28.604132
2019-08-09 10:00:00,344.8056,328.58124,30.02328
2019-08-09 11:00:00,345.65668,359.08688,30.260918
2019-08-09 12:00:00,348.57642,213.07735,30.811808
2019-08-09 13:00:00,396.3439,320.9799,30.965366
2019-08-09 14:00:00,399.17062,329.7203,31.488445
2019-08-09 15:00:00,372.77274,194.54013,31.530048
2019-08-09 16:00:00,423.2156,239.86366,31.49736
2019-08-09 17:00:00,412.69995,202.63918,31.18142
2019-08-09 18:00:00,396.7338,0.0,30.34187
2019-08-09 19:00:00,396.83633,0.0,30.147356
2019-08-09 20:00:00,401.6971,0.0,30.206236
2019-08-09 21:00:00,425.64468,0.0,30.201742
2019-08-09 22:00:00,443.26413,0.0,30.161898
2019-08-09 23:00:00,461.14722,0.0,30.203255
2019-08-10 00:00:00,499.2484,0.0,30.335833
2019-08-10 01:00:00,473.9449,0.0,30.829062
2019-08-10 02:00:00,466.7023,0.0,30.920164
2019-08-10 03:00:00,428.47586,0.0,30.737963
2019-08-10 04:00:00,421.3556,0.0,30.586336
2019-08-10 05:00:00,404.09207,0.0,30.4778
2019-08-10 06:00:00,387.7966,22.587664,31.063845
2019-08-10 07:00:00,378.33856,78.376434,31.64861
2019-08-10 08:00:00,379.2267,115.573975,31.866535
2019-08-10 09:00:00,387.36435,344.98904,32.946163
2019-08-10 10:00:00,435.08636,614.1789,33.011356
2019-08-10 11:00:00,478.24536,736.9219,32.86294
2019-08-10 12:00:00,486.9028,745.76355,32.755665
2019-08-10 13:00:00,463.11276,830.79205,32.759937
2019-08-10 14:00:00,495.61603,724.732,32.700146
2019-08-10 15:00:00,493.79126,603.7129,32.565628
2019-08-10 16:00:00,516.82715,449.71893,32.33216
2019-08-10 17:00:00,501.57742,242.91374,31.617872
2019-08-10 18:00:00,466.87686,0.0,30.981693
2019-08-10 19:00:00,452.03134,0.0,30.661177
2019-08-10 20:00:00,454.36243,0.0,30.63095
2019-08-10 21:00:00,485.88715,0.0,30.6774
2019-08-10 22:00:00,496.2875,0.0,30.71711
2019-08-10 23:00:00,524.77844,0.0,30.671774
2019-08-11 00:00:00,527.815,0.0,30.588566
2019-08-11 01:00:00,503.2416,0.0,30.403368
2019-08-11 02:00:00,446.1691,0.0,30.505507
2019-08-11 03:00:00,416.56158,0.0,30.205057
2019-08-11 04:00:00,394.09592,0.0,29.929281
2019-08-11 05:00:00,385.5405,0.0,30.024231
2019-08-11 06:00:00,375.31247,31.122911,30.490719
2019-08-11 07:00:00,375.9385,125.420105,30.929354
2019-08-11 08:00:00,401.2752,286.80695,31.4264
2019-08-11 09:00:00,432.86972,552.98346,31.839167
2019-08-11 10:00:00,448.6393,737.42084,32.053192
2019-08-11 11:00:00,456.24997,802.11206,32.157448
2019-08-11 12:00:00,453.3523,859.0195,32.061077
2019-08-11 13:00:00,456.6415,784.3302,31.977009
2019-08-11 14:00:00,478.91956,763.8824,31.928669
2019-08-11 15:00:00,507.07562,614.41437,31.972124
2019-08-11 16:00:00,523.93994,440.36514,31.719086
2019-08-11 17:00:00,505.4355,227.19527,31.080732
2019-08-11 18:00:00,474.49542,0.0,30.437122
2019-08-11 19:00:00,464.7349,0.0,30.125757
2019-08-11 20:00:00,474.62576,0.0,29.970787
2019-08-11 21:00:00,483.1894,0.0,29.881193
2019-08-11 22:00:00,499.1949,0.0,29.81086
2019-08-11 23:00:00,541.18286,0.0,29.652151
2019-08-12 00:00:00,559.7384,0.0,29.514751
2019-08-12 01:00:00,526.82947,0.0,29.235035
2019-08-12 02:00:00,475.66132,0.0,29.030163
2019-08-12 03:00:00,448.099,0.0,28.82546
2019-08-12 04:00:00,436.70883,0.0,28.789345
2019-08-12 05:00:00,415.7667,0.0,29.012835
2019-08-12 06:00:00,408.35254,54.91973,29.391138
2019-08-12 07:00:00,408.74286,130.51596,29.950174
2019-08-12 08:00:00,445.22113,282.0198,30.756971
2019-08-12 09:00:00,529.4542,329.33994,31.408682
2019-08-12 10:00:00,625.42285,462.6173,31.532803
2019-08-12 11:00:00,685.44653,484.86172,31.418451
2019-08-12 12:00:00,695.6636,384.90323,31.26584
2019-08-12 13:00:00,686.65485,398.03586,31.169958
2019-08-12 14:00:00,693.8094,497.5334,30.949652
2019-08-12 15:00:00,689.17053,316.17175,30.481863
2019-08-12 16:00:00,657.5382,193.30728,30.344006
2019-08-12 17:00:00,639.1801,175.75833,30.140108
2019-08-12 18:00:00,595.5567,0.0,29.687323
2019-08-12 19:00:00,569.05,0.0,29.535904
2019-08-12 20:00:00,569.0932,0.0,29.534359
2019-08-12 21:00:00,575.568,0.0,29.373238
2019-08-12 22:00:00,577.51337,0.0,29.210169
2019-08-12 23:00:00,588.5217,0.0,29.111725
2019-08-13 00:00:00,594.5438,0.0,29.121159
2019-08-13 01:00:00,580.67114,0.0,29.236912
2019-08-13 02:00:00,508.7904,0.0,29.233564
2019-08-13 03:00:00,468.31424,0.0,28.917786
2019-08-13 04:00:00,437.7618,0.0,28.352242
2019-08-13 05:00:00,418.12192,0.0,28.274199
