date,time,pred,true,datetime
2019-08-27,03:00:00,27.960747,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.136162,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.09193,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.092598,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.16284,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.015804,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.119452,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,27.979244,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,27.9151,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,27.873077,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.01535,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.105507,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.041101,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.003996,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.022163,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.083122,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.061724,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.070372,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.12315,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,28.091442,28.0,2019-08-27 03:00:00
2019-08-27,03:00:00,27.324404,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,27.336763,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.692146,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.807074,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,27.029163,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.85731,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.373816,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,27.117538,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,27.064266,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,27.325462,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,27.2217,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.898993,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.615313,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.708282,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.663555,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.671103,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.755148,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.85169,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.994238,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,27.039974,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,27.052635,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,27.179163,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,27.305384,27.2,2019-08-27 03:00:00
2019-08-27,03:00:00,26.711876,27.2,2019-08-27 03:00:00
2019-08-27,04:00:00,27.925726,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.047132,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.102531,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.134056,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.025969,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,27.939974,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,27.917871,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.024384,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,27.983906,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.13632,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,27.924202,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,27.950918,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.036732,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.053658,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.022139,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,27.903141,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.0278,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.060709,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,27.936089,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,27.861555,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,27.911644,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,28.043037,27.9,2019-08-27 04:00:00
2019-08-27,04:00:00,27.987726,27.9,2019-08-27 04:00:00
