date,time,pred,true,datetime
2019-08-25,06:00:00,145.82816,49.0,2019-08-25 06:00:00
2019-08-25,06:00:00,150.7346,49.0,2019-08-25 06:00:00
2019-08-25,06:00:00,125.22245,49.0,2019-08-25 06:00:00
2019-08-25,06:00:00,149.6865,49.0,2019-08-25 06:00:00
2019-08-25,06:00:00,132.41888,49.0,2019-08-25 06:00:00
2019-08-25,06:00:00,124.42899,49.0,2019-08-25 06:00:00
2019-08-25,06:00:00,146.6529,49.0,2019-08-25 06:00:00
2019-08-25,07:00:00,221.87456,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,339.3078,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,359.77045,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,292.06784,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,233.79321,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,191.3395,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,221.64096,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,180.71931,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,194.90686,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,203.47784,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,227.81413,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,237.65773,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,264.12625,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,264.8391,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,276.96768,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,282.8358,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,250.93251,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,243.33978,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,226.69334,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,221.4476,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,227.80972,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,232.99493,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,245.99557,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,253.17299,143.0,2019-08-25 07:00:00
2019-08-25,07:00:00,277.56708,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,239.83543,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,181.69023,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,165.34364,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,218.26772,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,203.49007,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,203.25215,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,234.76416,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,225.02104,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,212.99686,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,244.95009,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,237.01436,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,239.47723,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,270.65594,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,237.15248,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,240.11456,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,255.71179,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,276.57623,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,243.39595,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,300.74857,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,299.99866,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,298.29672,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,289.2188,237.0,2019-08-25 07:00:00
2019-08-25,07:00:00,275.85278,237.0,2019-08-25 07:00:00
2019-08-25,08:00:00,402.31265,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,489.81995,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,431.67075,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,374.77115,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,374.65375,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,326.30875,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,351.44763,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,343.09384,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,368.31348,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,418.07202,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,355.5604,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,424.67917,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,433.34064,266.0,2019-08-25 08:00:00
2019-08-25,08:00:00,388.84378,266.0,2019-08-25 08:00:00
