LOAD(kW),SG(t)
154.0845446,0
152.7727419,0
138.3062791,0
162.6685976,0.02252125
195.9228148,0.07527408
208.1418512,0.35545778
228.0896518,0.40449584
240.5659047,0.35996805
245.2128839,0.15886608
250.4182619,0.14984554
237.5122353,0.18353862
225.4048483,0.1136576
248.4515232,0.0329337
249.0308122,0.00805347
211.4187262,0
213.6612145,0
208.2640326,0
195.7293024,0
195.3743186,0
217.4081548,0
209.3389678,0
188.8266637,0
172.399772,0
153.7585566,0
144.2870427,0
146.63725,0
146.1896143,0
160.6676244,0.01606824
179.4522315,0.1690373
232.3349654,0.33975547
234.1872738,0.48164128
250.7735687,0.5879132
267.0244236,0.6226701
269.210506,0.59764883
259.4220391,0.50961794
259.2129107,0.37680126
255.2235244,0.21024033
262.2050059,0.04543896
243.3042976,0
221.0043185,0
211.8574998,0
221.3379613,0
224.5183675,0
211.2562441,0
209.9733214,0
192.0090611,0
168.8516722,0
169.1469792,0
158.2334434,0
149.5576667,0
148.0402798,0
166.0692273,0.02397465
163.8938293,0.08125624
193.5428036,0.35032358
200.6777457,0.4914728
232.6003414,0.58539512
215.4647411,0.62132506
221.4154704,0.59532683
238.027258,0.5095242
184.516361,0.375519
224.3513895,0.21071806
217.1518512,0.044462
233.4869693,0
206.0587729,0
214.6525002,0
227.9511548,0
225.9847618,0
219.4269814,0
223.6769949,0
173.416332,0
186.2513321,0
167.5308983,0
152.6563653,0
130.7891028,0
149.5444494,0
161.6883357,0.01079988
187.3708356,0.07469917
193.3923631,0.28695964
200.6794493,0.0449995
206.0525089,0.05495185
222.4232113,0.0585832
208.0710016,0.05590602
245.4635831,0.04781342
242.1637702,0.037926
221.1565232,0.02170296
218.2819018,0.01538755
218.7253223,0
219.1423096,0
233.4113674,0
228.4909162,0
250.9383065,0
236.8209403,0
245.0731094,0
196.8261097,0
173.4338995,0
158.3410196,0
161.908631,0
149.6893244,0
156.3133244,0
181.7689768,0.01083084
245.8675774,0.06836656
247.9796666,0.07444934
251.630497,0.14406763
278.2623721,0.0536124
280.8520833,0.18121404
272.8087232,0.496091
244.0133496,0.35975004
265.8050879,0.21176898
274.279477,0.23444546
261.2945833,0.06018409
259.3286994,0
283.1372283,0
272.529883,0
300.2162173,0
274.4127917,0
291.2059673,0
267.4650416,0
211.823128,0
160.2692285,0
144.1426405,0
160.22625,0
153.8381399,0
171.5078922,0
168.5409167,0.0321984
207.5299315,0.19918976
219.0712254,0.37539688
228.0426135,0.5210998
251.9495536,0.624102
271.6794851,0.66312192
253.5638244,0.63670272
258.0594702,0.550056
248.8388733,0.34163973
255.6575812,0.1443854
265.9292172,0.03205908
267.4430714,0
278.2554749,0
254.3582677,0
284.6443854,0
294.2093214,0
287.9857321,0
254.3202262,0
229.3416345,0
194.8512321,0
166.9706496,0
143.3340503,0
165.1827625,0
170.498869,0
184.2513304,0.02129016
229.598757,0.19175205
258.5617332,0.28018026
295.7469464,0.5117817
311.929372,0.614642
