timestamp,TEMPERATURE_true,TEMPERATURE_pred
2019-08-04 20:00:00,29.7,29.646608
2019-08-04 21:00:00,29.6,29.569454
2019-08-04 22:00:00,29.5,29.522707
2019-08-04 23:00:00,29.5,29.422138
2019-08-05 00:00:00,29.4,29.386648
2019-08-05 01:00:00,29.2,29.24931
2019-08-05 02:00:00,29.1,29.03404
2019-08-05 03:00:00,29.0,28.940218
2019-08-05 04:00:00,29.0,28.884037
2019-08-05 05:00:00,28.9,28.978197
2019-08-05 06:00:00,29.0,28.957737
2019-08-05 07:00:00,29.5,29.20514
2019-08-05 08:00:00,29.8,29.931837
2019-08-05 09:00:00,30.2,30.162943
2019-08-05 10:00:00,30.7,30.582983
2019-08-05 11:00:00,31.0,31.056322
2019-08-05 12:00:00,31.1,31.214323
2019-08-05 13:00:00,31.2,31.157755
2019-08-05 14:00:00,31.2,31.19954
2019-08-05 15:00:00,31.2,31.077194
2019-08-05 16:00:00,30.9,31.000908
2019-08-05 17:00:00,30.5,30.52974
2019-08-05 18:00:00,30.1,30.024954
2019-08-05 19:00:00,29.7,29.65113
2019-08-05 20:00:00,29.6,29.367344
2019-08-05 21:00:00,29.5,29.407446
2019-08-05 22:00:00,29.5,29.376337
2019-08-05 23:00:00,29.5,29.389624
2019-08-06 00:00:00,29.4,29.364513
2019-08-06 01:00:00,29.2,29.227217
2019-08-06 02:00:00,29.1,29.002373
2019-08-06 03:00:00,29.0,28.904903
2019-08-06 04:00:00,28.9,28.853502
2019-08-06 05:00:00,28.9,28.841198
2019-08-06 06:00:00,28.9,28.972626
2019-08-06 07:00:00,29.3,29.057861
2019-08-06 08:00:00,29.6,29.710775
2019-08-06 09:00:00,30.0,29.971949
2019-08-06 10:00:00,30.3,30.411327
2019-08-06 11:00:00,30.6,30.596024
2019-08-06 12:00:00,30.8,30.868982
2019-08-06 13:00:00,31.0,30.970062
2019-08-06 14:00:00,31.0,31.103897
2019-08-06 15:00:00,30.9,30.92517
2019-08-06 16:00:00,30.8,30.672138
2019-08-06 17:00:00,30.4,30.457499
2019-08-06 18:00:00,29.9,29.911516
2019-08-06 19:00:00,29.3,29.427628
2019-08-06 20:00:00,29.0,28.980398
2019-08-06 21:00:00,28.9,28.864637
2019-08-06 22:00:00,28.8,28.846273
2019-08-06 23:00:00,28.7,28.758657
2019-08-07 00:00:00,28.6,28.630322
2019-08-07 01:00:00,28.6,28.490164
2019-08-07 02:00:00,28.5,28.454996
2019-08-07 03:00:00,28.5,28.35946
2019-08-07 04:00:00,28.5,28.406984
2019-08-07 05:00:00,28.5,28.504683
2019-08-07 06:00:00,28.6,28.606842
2019-08-07 07:00:00,29.2,28.840319
2019-08-07 08:00:00,29.7,29.739567
2019-08-07 09:00:00,30.2,30.18714
2019-08-07 10:00:00,30.6,30.648046
2019-08-07 11:00:00,30.8,30.91104
2019-08-07 12:00:00,30.9,30.894777
2019-08-07 13:00:00,30.9,30.888767
2019-08-07 14:00:00,30.8,30.79337
2019-08-07 15:00:00,30.7,30.592281
2019-08-07 16:00:00,30.4,30.47556
2019-08-07 17:00:00,30.1,30.054441
2019-08-07 18:00:00,29.7,29.754501
2019-08-07 19:00:00,29.3,29.347027
2019-08-07 20:00:00,29.2,29.030632
2019-08-07 21:00:00,29.2,29.090593
2019-08-07 22:00:00,29.2,29.14187
2019-08-07 23:00:00,29.3,29.136286
2019-08-08 00:00:00,29.3,29.219414
2019-08-08 01:00:00,29.3,29.152546
2019-08-08 02:00:00,29.3,29.130795
2019-08-08 03:00:00,29.3,29.1386
2019-08-08 04:00:00,29.2,29.187836
2019-08-08 05:00:00,29.2,29.141981
2019-08-08 06:00:00,29.2,29.24042
2019-08-08 07:00:00,29.5,29.302309
2019-08-08 08:00:00,29.8,29.78543
2019-08-08 09:00:00,30.0,30.085249
2019-08-08 10:00:00,30.3,30.193342
2019-08-08 11:00:00,30.4,30.516546
2019-08-08 12:00:00,30.4,30.469845
2019-08-08 13:00:00,30.3,30.422138
2019-08-08 14:00:00,30.2,30.253736
2019-08-08 15:00:00,30.0,30.194174
2019-08-08 16:00:00,29.9,29.841091
2019-08-08 17:00:00,29.8,29.722935
2019-08-08 18:00:00,29.6,29.591015
2019-08-08 19:00:00,29.4,29.367071
2019-08-08 20:00:00,29.3,29.24451
2019-08-08 21:00:00,29.2,29.244331
2019-08-08 22:00:00,29.2,29.173119
2019-08-08 23:00:00,29.2,29.191355
2019-08-09 00:00:00,29.2,29.175032
2019-08-09 01:00:00,29.1,29.154394
2019-08-09 02:00:00,29.0,29.00767
2019-08-09 03:00:00,29.0,28.895248
2019-08-09 04:00:00,28.9,28.978247
2019-08-09 05:00:00,28.9,28.896162
2019-08-09 06:00:00,28.9,29.008457
2019-08-09 07:00:00,29.0,29.046513
2019-08-09 08:00:00,29.1,29.228617
2019-08-09 09:00:00,29.3,29.331932
2019-08-09 10:00:00,29.5,29.600166
2019-08-09 11:00:00,29.8,29.778955
2019-08-09 12:00:00,30.2,30.12877
2019-08-09 13:00:00,30.4,30.515762
2019-08-09 14:00:00,30.7,30.518316
2019-08-09 15:00:00,31.0,30.855984
2019-08-09 16:00:00,31.1,31.083393
2019-08-09 17:00:00,30.9,31.036863
2019-08-09 18:00:00,30.6,30.688475
2019-08-09 19:00:00,30.3,30.356295
2019-08-09 20:00:00,30.3,30.076578
2019-08-09 21:00:00,30.2,30.191626
2019-08-09 22:00:00,30.2,30.054373
2019-08-09 23:00:00,30.2,30.100264
2019-08-10 00:00:00,30.4,30.097004
2019-08-10 01:00:00,30.6,30.310833
2019-08-10 02:00:00,30.7,30.483467
2019-08-10 03:00:00,30.7,30.554636
2019-08-10 04:00:00,30.6,30.557993
2019-08-10 05:00:00,30.5,30.4615
2019-08-10 06:00:00,30.6,30.404984
2019-08-10 07:00:00,30.9,30.594278
2019-08-10 08:00:00,31.3,30.966408
2019-08-10 09:00:00,31.7,31.38391
2019-08-10 10:00:00,32.1,31.760456
2019-08-10 11:00:00,32.4,32.146786
2019-08-10 12:00:00,32.6,32.401985
2019-08-10 13:00:00,32.7,32.56744
2019-08-10 14:00:00,32.7,32.577904
2019-08-10 15:00:00,32.5,32.507034
2019-08-10 16:00:00,32.2,32.197243
2019-08-10 17:00:00,31.9,31.819721
2019-08-10 18:00:00,31.3,31.483614
2019-08-10 19:00:00,30.8,30.874962
2019-08-10 20:00:00,30.7,30.491983
2019-08-10 21:00:00,30.6,30.493471
2019-08-10 22:00:00,30.7,30.411734
2019-08-10 23:00:00,30.6,30.503086
2019-08-11 00:00:00,30.5,30.394434
2019-08-11 01:00:00,30.4,30.279144
2019-08-11 02:00:00,30.4,30.171755
